#theta_cm, theta3_lab, Ek3_lab, theta4_deg, Ek4_lab
61.4 139.81 89.6241 170.993 381.336
61.5 145.298 126.492 170.018 344.468
61.6 151.645 163.359 169.945 307.601
61.7 158.458 196.618 170.945 274.342
61.8 165.527 223.012 173.088 247.948
61.9 172.733 239.959 176.24 231.002
62 180 245.798 180 225.162
62.1 7.26667 239.959 3.75974 231.002
62.2 14.4733 223.012 6.91197 247.948
62.3 21.5425 196.618 9.05476 274.342
62.4 28.3546 163.359 10.055 307.601
62.5 34.7023 126.492 9.98183 344.468
62.6 40.1896 89.6241 9.00693 381.336
62.7 43.9656 56.3653 7.33246 414.595
62.8 43.893 29.971 5.15534 440.989
62.9 33.6244 13.0249 2.65608 457.935
63 180 7.1856 180 463.774
63.1 146.376 13.0249 177.344 457.935
63.2 136.107 29.971 174.845 440.989
63.3 136.034 56.3653 172.668 414.595
63.4 139.81 89.6241 170.993 381.336
63.5 145.298 126.492 170.018 344.468
63.6 151.645 163.359 169.945 307.601
63.7 158.458 196.618 170.945 274.342
63.8 165.527 223.012 173.088 247.948
63.9 172.733 239.959 176.24 231.002
64 180 245.798 180 225.162
64.1 7.26667 239.959 3.75974 231.002
64.2 14.4733 223.012 6.91197 247.948
64.3 21.5425 196.618 9.05476 274.342
64.4 28.3546 163.359 10.055 307.601
64.5 34.7023 126.492 9.98183 344.468
64.6 40.1896 89.6241 9.00693 381.336
64.7 43.9656 56.3653 7.33246 414.595
64.8 43.893 29.971 5.15534 440.989
64.9 33.6244 13.0249 2.65608 457.935
